排名	地区	2019年人口（万）	2018年GDP（亿）
0	全国	139538	900300
1	广东	11346	97277.77
2	山东	10047.24	76469.67
3	河南	9605	48055.86
4	四川	8341	40678.13
5	江苏	8029.3	92595.4
6	河北	7556.30	36010.27
7	湖南	6860.2	36425.78
8	安徽	6323.6	30006.82
9	湖北	5917	39366.55
10	浙江	5737	56197.15
11	广西	4885	20352.51
12	云南	4800.5	17881.12
13	江西	4622.1	21984.78
14	辽宁	4359.3	25315.35
15	福建	3941	35804.04
16	陕西	3835.44	24438.32
17	黑龙江	3788.7	16361.62
18	山西	3702.35	16818.11
19	贵州	3580	14806.45
20	重庆	3048.43	20363.19
21	吉林	2717.43	15074.62
22	甘肃	2625.71	8246.07
23	内蒙古	2534.0	17289.22
24	新疆	2444.67	12199.08
25	上海	2423.78	32679.87
26	台湾	2369	39001.04
27	北京	2170.7	30319.98
28	天津	1559.60	18809.64
29	海南	925.76	4832.05
30	香港	748.25	24000.98
31	宁夏	681.79	3705.18
32	青海	598.38	2865.23
33	西藏	337.15	1477.63
34	澳门	63.2	3609
35	武汉	1091.4	14847.29
36	温州	925 6006.2
