,02-01预测,02-01实际,02-02预测,02-02实际,02-03预测,02-03实际,02-04预测,02-04实际,02-05预测
广东,100.582728,84.0,70.995208,79.0,67.379832,114.0,72.93832,73.0,79.146136
湖南,57.603024,74.0,68.242488,58.0,58.508156,72.0,65.86862,68.0,72.75936
河南,68.46712,71.0,70.912344,73.0,72.045744,109.0,84.976736,89.0,82.829112
浙江,83.187152,62.0,65.54962,63.0,78.885136,105.0,94.52072,66.0,80.602232
江西,50.272636,47.0,50.708092,58.0,47.45368,85.0,74.288112,72.0,69.727488
安徽,54.166856,43.0,51.1115,68.0,59.158216,72.0,60.181952,50.0,81.226232
江苏,32.433884,34.0,31.206314,35.0,37.967416,37.0,34.914384,33.0,29.430876
北京,11.637272,27.0,14.367537,29.0,25.622232,16.0,17.602492,25.0,17.746428
重庆,32.951588,24.0,27.086412,38.0,49.736984,37.0,39.776364,29.0,33.841584
四川,21.790368,24.0,19.225184,23.0,31.202904,28.0,24.62775,19.0,21.546252
上海,12.066185,24.0,22.368726,16.0,18.260308,15.0,11.433237,25.0,23.976158
山东,30.14982,23.0,15.819133,21.0,17.034872,24.0,22.654028,28.0,22.128092
福建,19.334354,15.0,9.422187,20.0,20.949408,15.0,15.154011,11.0,10.817944
黑龙江,17.185728,15.0,10.669715,23.0,16.321929,37.0,25.598376,35.0,22.696104
陕西,15.85373,15.0,10.771443,12.0,14.515383,14.0,11.09626,23.0,19.026086
天津,1.777723,11.0,6.115157,11.0,11.3553,10.0,10.853052,3.0,4.107275
广西,13.483216,11.0,12.49033,16.0,21.010968,12.0,16.808622,11.0,14.164211
海南,5.118039,10.0,7.065897,8.0,15.573097,8.0,4.982239,10.0,9.07272
辽宁,7.77096,9.0,9.540327,4.0,8.791423,4.0,5.347669,4.0,5.358301
山西,9.432929,9.0,7.047767,10.0,9.321796,8.0,10.976636,7.0,8.750877
贵州,13.960137,9.0,10.960046,8.0,11.897765,10.0,9.112413,8.0,7.536964
云南,11.884864,8.0,8.844383,10.0,10.189815,8.0,9.452876,5.0,5.99814
河北,15.35126,8.0,9.830073,9.0,10.251473,13.0,11.131955,22.0,16.994998
甘肃,4.668283,5.0,3.206799,11.0,6.153306,4.0,7.107947,2.0,4.974483
吉林,2.540561,5.0,1.567359,9.0,7.944853,11.0,4.298635,12.0,6.507949
内蒙古,0.47593,4.0,2.435824,7.0,7.766233,1.0,3.667443,7.0,2.448956
新疆,2.438122,3.0,1.486985,3.0,2.423979,5.0,3.479507,3.0,2.398987
宁夏,5.773937,2.0,0.190317,3.0,3.636102,3.0,3.442385,0.0,0.004432
青海,0.353035,2.0,0.122992,2.0,3.415183,2.0,1.70743,2.0,0.607608
西藏,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
